cluster_id,ytick_label,f1_XL,precision_XL,recall_XL,f1_GB,precision_GB,recall_GB,f1_IR,precision_IR,recall_IR,f1_NE,precision_NE,recall_NE
0,"C0: ΕΞΕΤΕΤΑΣΗ, ασθενης",0.743142144638404,0.7925531914893617,0.6995305164319249,0.72,0.7700534759358288,0.676056338028169,0.6376237623762376,0.5513698630136986,0.755868544600939,0.6754385964912281,0.6337448559670782,0.7230046948356808
1,"C1: XX, Tab",0.8113207547169812,0.8835616438356164,0.75,0.7949526813880126,0.8689655172413793,0.7325581395348837,0.6921119592875318,0.6153846153846154,0.7906976744186046,0.7542857142857143,0.7415730337078652,0.7674418604651163
2,"C2: πρωι, βραδυ",0.7761194029850746,0.8524590163934426,0.7123287671232876,0.8371278458844134,0.8566308243727598,0.8184931506849316,0.6860643185298622,0.6204986149584487,0.7671232876712328,0.7357512953367876,0.7421602787456446,0.7294520547945206
3,"C3: XX, Εισαγωγής",0.7698744769874476,0.7896995708154506,0.7510204081632653,0.8048780487804877,0.8016194331983806,0.8081632653061225,0.6898954703832753,0.601823708206687,0.8081632653061225,0.7423076923076922,0.7018181818181818,0.7877551020408163
4,"C4: δισκίο, ένα",0.7745454545454545,0.7888888888888889,0.7607142857142857,0.7758007117437722,0.7730496453900709,0.7785714285714286,0.6959152798789712,0.6036745406824147,0.8214285714285714,0.7216828478964401,0.6597633136094675,0.7964285714285714
5,"C5: BIL, ΕΞΕΤΕΤΑΣΗ",0.7632311977715877,0.7988338192419825,0.7306666666666667,0.778393351800554,0.8097982708933718,0.7493333333333333,0.7200902934537246,0.62426614481409,0.8506666666666667,0.7398273736128238,0.6880733944954128,0.8
6,"C6: XX, δισκίο",0.8317460317460318,0.8675496688741722,0.7987804878048781,0.8280254777070064,0.8666666666666667,0.7926829268292683,0.675603217158177,0.6028708133971292,0.7682926829268293,0.7041420118343195,0.6839080459770115,0.725609756097561
7,"C7: XX, Φυσική",0.8122605363984674,0.8368421052631579,0.7890818858560794,0.8734177215189873,0.8914728682170543,0.8560794044665012,0.7452631578947368,0.6471663619744058,0.8784119106699751,0.7799315849486886,0.7215189873417721,0.8486352357320099
8,"C8: ΚΑΙ, 1X1",0.7610619469026549,0.8431372549019608,0.6935483870967742,0.8313953488372092,0.9050632911392406,0.7688172043010753,0.6887755102040817,0.6553398058252428,0.7258064516129032,0.7262247838616716,0.782608695652174,0.6774193548387096
9,"C9: βαλβίδα, XX",0.7629427792915532,0.7446808510638298,0.7821229050279329,0.8184438040345822,0.8452380952380952,0.7932960893854749,0.6400000000000001,0.5313653136531366,0.8044692737430168,0.7352185089974292,0.680952380952381,0.7988826815642458
10,"C10: cap, θεράποντα",0.7705382436260623,0.7597765363128491,0.7816091954022989,0.7648902821316614,0.8413793103448276,0.7011494252873564,0.6968973747016707,0.5959183673469388,0.8390804597701149,0.7362924281984333,0.6746411483253588,0.8103448275862069
11,"C11: ΕΞΕΤΕΤΑΣΗ, Rο",0.7055702917771884,0.7430167597765364,0.6717171717171717,0.7520000000000001,0.7966101694915254,0.7121212121212122,0.6452991452991453,0.5592592592592592,0.7626262626262627,0.6778846153846154,0.6467889908256881,0.7121212121212122
